EVENTO,SERIE,CONJUNTO,ANO,MES,DIA,HORA,MINUTO,COD_SEQUENCIAL,DATA_HORA,inp01_input_1_nivel_86472600,inp02_input_2_nivel_D_1h_86472600,inp03_input_3_chuva_med_acum_36h,inp04_input_6_nivel_86448000,inp05_input_6_nivel_D_12H_86448000,inp06_input_6_nivel_D_14H_86448000,inp07_input_8_nivel_86125130,inp08_input_8_nivel_D_10h_86125130,inp09_input_8_nivel_D_11h_86125130,inp10_input_8_nivel_D_12h_86125130,inp11_input_12_nivel_D_2h_86472600,inp12_input_13_nivel_D_4h_86472600,saida_12h_conv_nivel_12h_86472600,NIVEL_ATUAL_CM,OBSERVADO_12H_CM_AUDITORIA,PERSISTENCIA_CM,TIPO_ALVO_RNA,OBSERVADO_CM_AUDITORIA,RNA_CM,ALT_OBSERVADA_CM,ALT_RNA_CM,ERRO_RNA_CM,ERRO_ABS_CM,E2_RNA,PERS_BASE_NIVEL_ATUAL_CM,E2_PERS,SERIE_AUDITORIA,CONJUNTO_AUDITORIA
2,3,Teste,2023,6,16,7,0,202306160700,2023-06-16 07:00,509,13,87.73202797202796,15002,287,284,153,34,39,47,20,20,881,509,881,509,nivel_conv,881,790.6265615628706,372,281.6265615628706,-90.37343843712938,90.37343843712938,8167.358374949614,509,138384,3,Teste
2,3,Teste,2023,6,16,8,0,202306160800,2023-06-16 08:00,545,36,85.6679254079254,14999,270,283,156,35,37,42,49,59,877,545,877,545,nivel_conv,877,824.3345116121925,332,279.3345116121925,-52.6654883878075,52.6654883878075,2773.653667126287,545,110224,3,Teste
2,3,Teste,2023,6,16,9,0,202306160900,2023-06-16 09:00,625,80,84.86664335664337,15007,254,292,158,35,37,39,116,136,874,625,874,625,nivel_conv,874,910.1905467636309,249,285.1905467636309,36.19054676363089,36.19054676363089,1309.755675050554,625,62001,3,Teste
2,3,Teste,2023,6,16,10,0,202306161000,2023-06-16 10:00,699,74,83.69741258741259,14993,204,264,161,35,38,40,154,203,881,699,881,699,nivel_conv,881,931.2365706284952,182,232.2365706284952,50.2365706284952,50.2365706284952,2523.713028511787,699,33124,3,Teste
2,3,Teste,2023,6,16,11,0,202306161100,2023-06-16 11:00,770,71,82.76664335664336,14989,166,236,164,36,38,41,145,261,888,770,888,770,nivel_conv,888,941.9170593581587,118,171.9170593581587,53.91705935815867,53.91705935815867,2907.049289831205,770,13924,3,Teste
2,3,Teste,2023,6,16,12,0,202306161200,2023-06-16 12:00,834,64,80.45125874125874,14992,126,203,167,35,39,41,135,289,893,834,893,834,nivel_conv,893,940.2475347783952,59,106.2475347783952,47.24753477839522,47.24753477839522,2232.329542635666,834,3481,3,Teste
2,3,Teste,2023,6,16,13,0,202306161300,2023-06-16 13:00,867,33,78.80510489510489,14994,79,171,168,30,36,40,97,242,881,867,881,867,nivel_conv,881,884.4560068576875,14,17.4560068576875,3.456006857687498,3.456006857687498,11.94398340038302,867,196,3,Teste
2,3,Teste,2023,6,16,14,0,202306161400,2023-06-16 14:00,880,13,77.96151515151516,14995,17,129,168,26,30,36,46,181,868,880,868,880,nivel_conv,868,813.5083363387905,-12,-66.49166366120949,-54.49166366120949,54.49166366120949,2969.341408566379,880,144,3,Teste
2,3,Teste,2023,6,16,15,0,202306161500,2023-06-16 15:00,886,6,77.16151515151516,14996,0,81,169,23,27,31,19,116,856,886,856,886,nivel_conv,856,767.0002479088305,-30,-118.9997520911695,-88.99975209116951,88.99975209116951,7920.955872289632,886,900,3,Teste
2,3,Teste,2023,6,16,16,0,202306161600,2023-06-16 16:00,888,2,76.22305361305362,14999,1,21,169,19,23,27,8,54,843,888,843,888,nivel_conv,843,727.6271433691322,-45,-160.3728566308678,-115.3728566308678,115.3728566308678,13310.89604716677,888,2025,3,Teste
2,3,Teste,2023,6,16,17,0,202306161700,2023-06-16 17:00,888,0,75.46920745920747,15008,0,12,169,16,19,23,2,21,822,888,822,888,nivel_conv,822,709.7969867582931,-66,-178.2030132417069,-112.2030132417069,112.2030132417069,12589.51618051866,888,4356,3,Teste
2,3,Teste,2023,6,16,18,0,202306161800,2023-06-16 18:00,883,-5,75.207668997669,14988,-14,-10,168,12,15,18,-5,3,801,883,801,883,nivel_conv,801,675.7720622132617,-82,-207.2279377867383,-125.2279377867383,125.2279377867383,15682.03640231919,883,6724,3,Teste
2,3,Teste,2023,6,16,19,0,202306161900,2023-06-16 19:00,881,-2,74.45382284382285,14986,-16,-22,167,9,11,14,-7,-5,787,881,787,881,nivel_conv,787,662.4312649510778,-94,-218.5687350489222,-124.5687350489222,124.5687350489222,15517.36975168859,881,8836,3,Teste
2,3,Teste,2023,6,16,20,0,202306162000,2023-06-16 20:00,877,-4,72.73587412587413,14981,-18,-21,167,6,9,11,-6,-11,771,877,771,877,nivel_conv,771,650.1551380707704,-106,-226.8448619292296,-120.8448619292296,120.8448619292296,14603.48065469457,877,11236,3,Teste
2,3,Teste,2023,6,16,21,0,202306162100,2023-06-16 21:00,874,-3,71.02602564102564,14976,-31,-26,165,1,4,7,-7,-14,754,874,754,874,nivel_conv,754,631.0614063488974,-120,-242.9385936511026,-122.9385936511026,122.9385936511026,15113.89780891092,874,14400,3,Teste
2,3,Teste,2023,6,16,22,0,202306162200,2023-06-16 22:00,881,7,68.46448717948718,14968,-25,-31,163,-4,-1,2,4,-2,742,881,742,881,nivel_conv,742,628.7302741364042,-139,-252.2697258635958,-113.2697258635958,113.2697258635958,12830.03079721414,881,19321,3,Teste
