EVENTO,SERIE,CONJUNTO,ANO,MES,DIA,HORA,MINUTO,COD_SEQUENCIAL,DATA_HORA,inp01_input_1_nivel_86472600,inp02_input_2_nivel_D-1h_86472600,inp03_input_3_chuva_med_acum_36h,inp04_input_6a_nivel_86448000,inp05_input_6b_nivel_D-14H_86448000,inp06_input_7a_nivel_86472000,inp07_input_7b_nivel_D-2h_86472000,inp08_input_7c_nivel_A-14h_86472000,inp09_input_16_nivel_A-1h_86472600,inp10_input_17_nivel_A-2h_86472600,inp11_input_18_nivel_A-4h_86472600,saida_8h_conv_nivel_8h_86472600,NIVEL_ATUAL_CM,RNA_CM,ERRO_CM,ERRO_ABS_CM,E2_RNA,E2_PERS,PERS_BASE_NIVEL_ATUAL_CM,OBSERVADO_CM_AUDITORIA
2,1,Validacao,2023,6,16,3,0,202306160300,2023-06-16 03:00,489,-2,82.22331002331002,14996,274,520,-9,-6,-10,-20,-22.60000000000002,770,489,669.2042821336205,-100.7957178663795,100.7957178663795,10159.77674019878,78961,489,770
2,1,Validacao,2023,6,16,4,0,202306160400,2023-06-16 04:00,486,-3,85.91369463869464,14998,275,525,3,-2,-1,-11,-21.39999999999998,834,486,719.7707846751109,-114.2292153248891,114.2292153248891,13048.31363373988,121104,486,834
2,1,Validacao,2023,6,16,5,0,202306160500,2023-06-16 05:00,489,3,89.1207459207459,15008,288,545,25,-18,6,5,-15,867,489,798.166546630163,-68.833453369837,68.833453369837,4738.044302817525,142884,489,867
2,1,Validacao,2023,6,16,6,0,202306160600,2023-06-16 06:00,496,7,89.50766899766899,15002,284,604,79,26,4,10,-1,880,496,875.4164017358336,-4.583598264166426,4.583598264166426,21.00937304726947,147456,496,880
2,1,Validacao,2023,6,16,7,0,202306160700,2023-06-16 07:00,509,13,87.73202797202796,15002,284,709,164,93,6,10,15,886,509,1020.600577578807,134.6005775788068,134.6005775788068,18117.31548454838,142129,509,886
2,1,Validacao,2023,6,16,8,0,202306160800,2023-06-16 08:00,545,36,85.6679254079254,14999,283,800,196,84,23,29,39,888,545,1094.291205485345,206.2912054853448,206.2912054853448,42556.06146059675,117649,545,888
2,1,Validacao,2023,6,16,9,0,202306160900,2023-06-16 09:00,625,80,84.86664335664337,15007,292,875,166,66,44,67,77,888,625,1120.119133010217,232.1191330102172,232.1191330102172,53879.2919094149,69169,625,888
2,1,Validacao,2023,6,16,10,0,202306161000,2023-06-16 10:00,699,74,83.69741258741259,14993,264,978,178,89,-6,38,67,883,699,1211.084451843583,328.0844518435827,328.0844518435827,107639.4075415041,33856,699,883
2,1,Validacao,2023,6,16,11,0,202306161100,2023-06-16 11:00,770,71,82.76664335664336,14989,236,1017,142,21,-3,-9,58,881,770,1243.338913808184,362.3389138081839,362.3389138081839,131289.4884596945,12321,770,881
2,1,Validacao,2023,6,16,12,0,202306161200,2023-06-16 12:00,834,64,80.45125874125874,14992,203,1027,49,-8,-7,-10,28,877,834,1210.745048838479,333.7450488384786,333.7450488384786,111385.7576241985,1849,834,877
