EVENTO,SERIE,CONJUNTO,ANO,MES,DIA,HORA,MINUTO,COD_SEQUENCIAL,DATA_HORA,inp01_input_1_nivel_86472600,inp02_input_2_nivel_D-1h_86472600,inp03_input_3_chuva_med_acum_36h,inp04_input_6a_nivel_86448000,inp05_input_6b_nivel_D-14H_86448000,inp06_input_7a_nivel_86472000,inp07_input_7b_nivel_D-2h_86472000,inp08_input_7c_nivel_A-14h_86472000,inp09_input_10a_nivel_86430900,inp10_input_10b_nivel_D-14h_86430900,saida_8h_conv_nivel_8h_86472600,NIVEL_ATUAL_CM,OBSERVADO_CM_AUDITORIA,RNA_CM,ERRO_RNA_CM,ERRO_ABS_CM,E2_RNA,PERS_BASE_NIVEL_ATUAL_CM,E2_PERS,SERIE_AUDITORIA,CONJUNTO_AUDITORIA
2,2,Validacao,2023,6,17,22,0,202306172200,2023-06-17 22:00,632,-6,5.577470862470862,14984,-6,740,-13,9,29155,-19,581,632,581,574.1731158569717,-6.826884143028337,6.826884143028337,46.60634710233175,632,2601,2,Validacao
2,2,Validacao,2023,6,17,23,0,202306172300,2023-06-17 23:00,624,-8,5.171060606060604,14980,-1,732,-13,0,29153,-19,574,624,574,558.405315148298,-15.59468485170203,15.59468485170203,243.1941956239047,624,2500,2,Validacao
2,2,Validacao,2023,6,18,0,0,202306180000,2023-06-18 00:00,620,-4,4.927470862470861,14976,-10,722,-18,-8,29152,-19,568,620,568,560.0075654300708,-7.992434569929173,7.992434569929173,63.87901035459893,620,2704,2,Validacao
2,2,Validacao,2023,6,18,1,0,202306180100,2023-06-18 01:00,613,-7,4.760804195804194,14973,-13,715,-17,2,29151,-19,564,613,564,553.6972465078834,-10.30275349211661,10.30275349211661,106.146729519321,613,2401,2,Validacao
2,2,Validacao,2023,6,18,7,0,202306180700,2023-06-18 07:00,574,-7,3.007424242424241,14971,-18,674,-13,4,29145,-16,509,574,509,525.0502491306084,16.05024913060845,16.05024913060845,257.6104971545973,574,4225,2,Validacao
2,2,Validacao,2023,6,18,8,0,202306180800,2023-06-18 08:00,568,-6,2.840757575757575,14989,3,670,-9,-1,29144,-16,510,568,510,525.0048123134696,15.00481231346964,15.00481231346964,225.1443925624502,568,3364,2,Validacao
2,2,Validacao,2023,6,18,9,0,202306180900,2023-06-18 09:00,564,-4,2.632424242424241,14991,9,654,-20,-11,29143,-16,511,564,511,526.8260710531099,15.8260710531099,15.8260710531099,250.4645249780831,564,2809,2,Validacao
2,2,Validacao,2023,6,18,10,0,202306181000,2023-06-18 10:00,559,-5,2.449090909090908,14989,2,629,-41,-20,29142,-15,510,559,510,528.3618487544741,18.36184875447407,18.36184875447407,337.1574896821809,559,2401,2,Validacao
2,2,Validacao,2023,6,18,11,0,202306181100,2023-06-18 11:00,549,-10,2.321818181818181,14987,0,611,-43,-10,29141,-15,509,549,509,522.73398577166,13.73398577165995,13.73398577165995,188.6223651761578,549,1600,2,Validacao
3,3,Teste,2023,7,11,16,0,202307111600,2023-07-11 16:00,433,-3,1.805128205128205,14860,-27,519,-5,3,29126,-4,415,433,415,391.4178112240684,-23.58218877593163,23.58218877593163,556.1196274636756,433,324,3,Teste
