EVENTO,SERIE,CONJUNTO,ANO,MES,DIA,HORA,MINUTO,COD_SEQUENCIAL,DATA_HORA,inp01_input_1_nivel_86472600,inp02_input_2_nivel_D-1h_86472600,inp03_input_3_chuva_med_acum_36h,inp04_input_6a_nivel_86448000,inp05_input_6b_nivel_D-14H_86448000,inp06_input_7a_nivel_86472000,inp07_input_7b_nivel_D-2h_86472000,inp08_input_7c_nivel_A-14h_86472000,inp09_input_10a_nivel_86430900,inp10_input_10b_nivel_D-14h_86430900,saida_8h_conv_nivel_8h_86472600,NIVEL_ATUAL_CM,OBSERVADO_CM_AUDITORIA,RNA_CM,ALT_OBSERVADA_CM,ALT_RNA_CM,ERRO_RNA_CM,ERRO_ABS_CM,E2_RNA,PERS_BASE_NIVEL_ATUAL_CM,E2_PERS,SERIE_AUDITORIA,CONJUNTO_AUDITORIA
2,2,Validacao,2023,6,15,20,0,202306152000,2023-06-15 20:00,387,20,73.36474358974358,14729,24,475,23,13,29055,121,486,387,486,377.6688251327627,99,-9.331174867237337,-108.3311748672373,108.3311748672373,11735.64344811595,387,9801,2,Validacao
2,2,Validacao,2023,6,15,21,0,202306152100,2023-06-15 21:00,400,13,74.41089743589744,14753,47,493,32,16,29114,184,489,400,489,437.7770462368467,89,37.77704623684667,-51.22295376315333,51.22295376315333,2623.790992222144,400,7921,2,Validacao
2,2,Validacao,2023,6,15,22,0,202306152200,2023-06-15 22:00,426,26,75.90128205128205,14789,82,511,36,17,29151,226,496,426,496,588.3391207522302,70,162.3391207522302,92.3391207522302,92.3391207522302,8526.51322129495,426,4900,2,Validacao
2,2,Validacao,2023,6,15,23,0,202306152300,2023-06-15 23:00,446.6,20.60000000000002,76.57179487179486,14823,114,525,32,14,29162,242,509,446.6,509,610.127397626854,62.39999999999998,163.5273976268539,101.127397626854,101.127397626854,10226.75055077983,446.6,3893.759999999997,2,Validacao
2,2,Validacao,2023,6,16,0,0,202306160000,2023-06-16 00:00,465,18.39999999999998,77.50192307692308,14866,155,532,21,8,29166,250,545,465,545,619.0947703119277,80,154.0947703119277,74.09477031192773,74.09477031192773,5490.034987577327,465,6400,2,Validacao
2,2,Validacao,2023,6,16,1,0,202306160100,2023-06-16 01:00,483,18,78.50384615384615,14915,201,529,4,-3,29167,252,625,483,625,631.3406878341827,142,148.3406878341827,6.340687834182745,6.340687834182745,40.20432221055307,483,20164,2,Validacao
2,2,Validacao,2023,6,16,2,0,202306160200,2023-06-16 02:00,491,8,80.2051282051282,14978,260,522,-10,-9,29168,251,699,491,699,631.4356412264609,208,140.4356412264609,-67.56435877353908,67.56435877353908,4564.942576479508,491,43264,2,Validacao
2,2,Validacao,2023,6,16,3,0,202306160300,2023-06-16 03:00,489,-2,82.22331002331002,14996,274,520,-9,-6,29170,249,770,489,770,629.5179998941132,281,140.5179998941132,-140.4820001058868,140.4820001058868,19735.19235375036,489,78961,2,Validacao
2,2,Validacao,2023,6,16,4,0,202306160400,2023-06-16 04:00,486,-3,85.91369463869464,14998,275,525,3,-2,29174,247,834,486,834,650.7310522454928,348,164.7310522454928,-183.2689477545072,183.2689477545072,33587.50721104428,486,121104,2,Validacao
2,2,Validacao,2023,6,16,5,0,202306160500,2023-06-16 05:00,489,3,89.1207459207459,15008,288,545,25,-18,29176,241,867,489,867,711.9090497356015,378,222.9090497356015,-155.0909502643985,155.0909502643985,24053.20285391414,489,142884,2,Validacao
2,2,Validacao,2023,6,16,6,0,202306160600,2023-06-16 06:00,496,7,89.50766899766899,15002,284,604,79,26,29180,233,880,496,880,776.8089683561471,384,280.8089683561471,-103.1910316438529,103.1910316438529,10648.38901172264,496,147456,2,Validacao
2,2,Validacao,2023,6,16,7,0,202306160700,2023-06-16 07:00,509,13,87.73202797202796,15002,284,709,164,93,29184,221,886,509,886,863.4979438805985,377,354.4979438805985,-22.50205611940146,22.50205611940146,506.3425296006927,509,142129,2,Validacao
2,2,Validacao,2023,6,16,8,0,202306160800,2023-06-16 08:00,545,36,85.6679254079254,14999,283,800,196,84,29188,205,888,545,888,997.2201820184652,343,452.2201820184652,109.2201820184652,109.2201820184652,11929.04816014666,545,117649,2,Validacao
2,2,Validacao,2023,6,16,9,0,202306160900,2023-06-16 09:00,625,80,84.86664335664337,15007,292,875,166,66,29191,180,888,625,888,1019.726966663838,263,394.7269666638379,131.7269666638379,131.7269666638379,17351.99374645585,625,69169,2,Validacao
2,2,Validacao,2023,6,16,10,0,202306161000,2023-06-16 10:00,699,74,83.69741258741259,14993,264,978,178,89,29192,137,883,699,883,1086.013831376782,184,387.0138313767816,203.0138313767816,203.0138313767816,41214.6157302803,699,33856,2,Validacao
2,2,Validacao,2023,6,16,11,0,202306161100,2023-06-16 11:00,770,71,82.76664335664336,14989,236,1017,142,21,29192,78,881,770,881,1091.981485375416,111,321.9814853754162,210.9814853754162,210.9814853754162,44513.18717121697,770,12321,2,Validacao
2,2,Validacao,2023,6,16,12,0,202306161200,2023-06-16 12:00,834,64,80.45125874125874,14992,203,1027,49,-8,29192,41,877,834,877,959.0308365586524,43,125.0308365586524,82.03083655865237,82.03083655865237,6729.058146512338,834,1849,2,Validacao
2,2,Validacao,2023,6,16,13,0,202306161300,2023-06-16 13:00,867,33,78.80510489510489,14994,171,1031,14,-10,29191,29,874,867,874,963.1994402522481,7,96.19944025224811,89.19944025224811,89.19944025224811,7956.54014131438,867,49,2,Validacao
2,2,Validacao,2023,6,16,14,0,202306161400,2023-06-16 14:00,880,13,77.96151515151516,14995,129,1036,9,-2,29191,25,881,880,881,959.4482435304698,1,79.44824353046977,78.44824353046977,78.44824353046977,6154.126913015892,880,1,2,Validacao
2,2,Validacao,2023,6,16,15,0,202306161500,2023-06-16 15:00,886,6,77.16151515151516,14996,81,1036,5,3,29190,23,888,886,888,909.5084258377968,2,23.50842583779684,21.50842583779684,21.50842583779684,462.6123820200065,886,4,2,Validacao
2,2,Validacao,2023,6,16,16,0,202306161600,2023-06-16 16:00,888,2,76.22305361305362,14999,21,1037,1,8,29189,21,893,888,893,849.9453136369908,5,-38.05468636300918,-43.05468636300918,43.05468636300918,1853.706017817089,888,25,2,Validacao
2,2,Validacao,2023,6,16,17,0,202306161700,2023-06-16 17:00,888,0,75.46920745920747,15008,12,1029,-7,-6,29189,19,881,888,881,838.9034778132728,-7,-49.09652218672716,-42.09652218672716,42.09652218672716,1772.117180217612,888,49,2,Validacao
2,2,Validacao,2023,6,16,18,0,202306161800,2023-06-16 18:00,883,-5,75.207668997669,14988,-10,1027,-10,-7,29189,15,868,883,868,830.614327890853,-15,-52.38567210914698,-37.38567210914698,37.38567210914698,1397.688479052651,883,225,2,Validacao
2,2,Validacao,2023,6,16,19,0,202306161900,2023-06-16 19:00,881,-2,74.45382284382285,14986,-22,1023,-6,-24,29188,12,856,881,856,831.9753111689322,-25,-49.02468883106781,-24.02468883106781,24.02468883106781,577.1856734296342,881,625,2,Validacao
2,2,Validacao,2023,6,16,20,0,202306162000,2023-06-16 20:00,877,-4,72.73587412587413,14981,-21,1026,-1,-56,29187,7,843,877,843,833.2625193476164,-34,-43.73748065238362,-9.737480652383624,9.737480652383624,94.81852945554542,877,1156,2,Validacao
2,2,Validacao,2023,6,16,21,0,202306162100,2023-06-16 21:00,874,-3,71.02602564102564,14976,-26,1054,31,-77,29185,1,822,874,822,838.9510288193111,-52,-35.04897118068891,16.95102881931109,16.95102881931109,287.3373780331152,874,2704,2,Validacao
2,2,Validacao,2023,6,16,22,0,202306162200,2023-06-16 22:00,881,7,68.46448717948718,14968,-31,1057,31,-88,29185,-3,801,881,801,848.9928429129179,-80,-32.00715708708208,47.99284291291792,47.99284291291792,2303.312970864016,881,6400,2,Validacao
2,2,Validacao,2023,6,16,23,0,202306162300,2023-06-16 23:00,888,7,64.91483682983682,14973,-34,1047,-7,-85,29185,-6,787,888,787,807.5967365095365,-101,-80.40326349046347,20.59673650953653,20.59673650953653,424.2255548432749,888,10201,2,Validacao
2,2,Validacao,2023,6,17,0,0,202306170000,2023-06-17 00:00,893,5,60.5882634032634,14985,-8,1020,-37,-130,29183,-9,771,893,771,786.7237219292472,-122,-106.2762780707528,15.72372192924718,15.72372192924718,247.2354313082886,893,14884,2,Validacao
2,2,Validacao,2023,6,17,1,0,202306170100,2023-06-17 01:00,881,-12,56.44886946386946,14991,2,1012,-35,-47,29182,-10,754,881,754,769.3757490005411,-127,-111.6242509994589,15.37574900054108,15.37574900054108,236.4136573276399,881,16129,2,Validacao
2,2,Validacao,2023,6,17,2,0,202306170200,2023-06-17 02:00,868,-13,53.13278554778555,14984,-8,996,-24,-26,29181,-11,742,868,742,764.3050074765849,-126,-103.6949925234151,22.30500747658493,22.30500747658493,497.5133585305098,868,15876,2,Validacao
2,2,Validacao,2023,6,17,3,0,202306170300,2023-06-17 03:00,856,-12,48.35020979020979,14998,4,975,-37,-25,29180,-11,735,856,735,745.5899403493756,-121,-110.4100596506244,10.58994034937564,10.58994034937564,112.1468366033342,856,14641,2,Validacao
2,2,Validacao,2023,6,17,4,0,202306170400,2023-06-17 04:00,843,-13,42.78237762237762,15002,7,940,-56,-40,29179,-12,728,843,728,729.1397878347866,-115,-113.8602121652134,1.139787834786603,1.139787834786603,1.299116308327532,843,13225,2,Validacao
2,2,Validacao,2023,6,17,8,0,202306170800,2023-06-17 08:00,771,-16,28.30067599067599,14990,2,877,-39,-12,29174,-15,681,771,681,675.3216424457809,-90,-95.67835755421913,-5.678357554219133,5.678357554219133,32.24374451355749,771,8100,2,Validacao
2,2,Validacao,2023,6,17,9,0,202306170900,2023-06-17 09:00,754,-17,27.16734265734265,14981,-5,869,-22,-4,29172,-16,666,754,666,659.8996807803231,-88,-94.10031921967686,-6.100319219676862,6.100319219676862,37.21389458195893,754,7744,2,Validacao
2,2,Validacao,2023,6,17,10,0,202306171000,2023-06-17 10:00,742,-12,25.55900932400932,14986,5,867,-10,-5,29171,-16,654,742,654,655.2022058053514,-88,-86.79779419464865,1.202205805351355,1.202205805351355,1.445298798420499,742,7744,2,Validacao
2,2,Validacao,2023,6,17,11,0,202306171100,2023-06-17 11:00,735,-7,24.90900932400932,14986,10,858,-11,-37,29170,-15,646,735,646,648.8684911217772,-89,-86.1315088782228,2.868491121777197,2.868491121777197,8.228241315714602,735,7921,2,Validacao
