EVENTO,SERIE,CONJUNTO,ANO,MES,DIA,HORA,MINUTO,COD_SEQUENCIAL,DATA_HORA,inp01_input_1_nivel_86472600,inp02_input_2_nivel_D-1h_86472600,inp03_input_3_chuva_med_acum_36h,inp04_input_4a_nivel_86298000,inp05_input_4b_nivel_D-10H_86298000,inp06_input_7a_nivel_86472000,inp07_input_7b_nivel_D-2h_86472000,inp08_input_7c_nivel_A-14h_86472000,inp09_input_8a_nivel_86125130,inp10_input_8b_nivel_D-11h_86125130,inp11_input_14_nivel_D-8h_86472600,inp12_input_15_nivel_D-12h_86472600,saida_8h_conv_nivel_8h_86472600,NIVEL_ATUAL_CM,OBSERVADO_CM_AUDITORIA,RNA_CM,ALT_OBSERVADA_CM,ALT_RNA_CM,ERRO_RNA_CM,ERRO_ABS_CM,E2_RNA,PERS_BASE_NIVEL_ATUAL_CM,E2_PERS,SERIE_AUDITORIA,CONJUNTO_AUDITORIA
2,3,Teste,2023,6,16,2,0,202306160200,2023-06-16 02:00,491,8,80.2051282051282,336,204,522,-10,-9,132,40,155,220,699,491,699,676.5319786829207,208,185.5319786829207,-22.46802131707932,22.46802131707932,504.8119819047307,491,43264,3,Teste
2,3,Teste,2023,6,16,3,0,202306160300,2023-06-16 03:00,489,-2,82.22331002331002,335,186,520,-9,-6,138,44,122,212,770,489,770,607.0966658847943,281,118.0966658847943,-162.9033341152057,162.9033341152057,26537.49626585033,489,78961,3,Teste
2,3,Teste,2023,6,16,4,0,202306160400,2023-06-16 04:00,486,-3,85.91369463869464,337,166,525,3,-2,142,46,99,201,834,486,834,609.6661926323985,348,123.6661926323985,-224.3338073676015,224.3338073676015,50325.65712804413,486,121104,3,Teste
2,3,Teste,2023,6,16,5,0,202306160500,2023-06-16 05:00,489,3,89.1207459207459,341,139,545,25,-18,146,45,89,186,867,489,867,663.9236384499376,378,174.9236384499376,-203.0763615500624,203.0763615500624,41240.00862041167,489,142884,3,Teste
2,3,Teste,2023,6,16,6,0,202306160600,2023-06-16 06:00,496,7,89.50766899766899,355,120,604,79,26,150,44,70,160,880,496,880,700.6549642982264,384,204.6549642982264,-179.3450357017736,179.3450357017736,32164.64183087043,496,147456,3,Teste
2,3,Teste,2023,6,16,7,0,202306160700,2023-06-16 07:00,509,13,87.73202797202796,372,104,709,164,93,153,39,62.39999999999998,142,886,509,886,623.0058274666819,377,114.0058274666819,-262.9941725333181,262.9941725333181,69165.93478648468,509,142129,3,Teste
2,3,Teste,2023,6,16,8,0,202306160800,2023-06-16 08:00,545,36,85.6679254079254,385,93,800,196,84,156,37,80,158,888,545,888,660.8316368577841,343,115.8316368577841,-227.1683631422159,227.1683631422159,51605.46521271366,545,117649,3,Teste
2,3,Teste,2023,6,16,9,0,202306160900,2023-06-16 09:00,625,80,84.86664335664337,399,85,875,166,66,158,37,142,225,888,625,888,864.4014690914929,263,239.4014690914929,-23.59853090850709,23.59853090850709,556.8906610397643,625,69169,3,Teste
2,3,Teste,2023,6,16,10,0,202306161000,2023-06-16 10:00,699,74,83.69741258741259,410,80,978,178,89,161,38,208,273,883,699,883,901.3991635508876,184,202.3991635508876,18.39916355088758,18.39916355088758,338.52921937231,699,33856,3,Teste
2,3,Teste,2023,6,16,11,0,202306161100,2023-06-16 11:00,770,71,82.76664335664336,420,85,1017,142,21,164,38,281,323.4,881,770,881,903.3189907921192,111,133.3189907921192,22.31899079211917,22.31899079211917,498.1373499787001,770,12321,3,Teste
2,3,Teste,2023,6,16,12,0,202306161200,2023-06-16 12:00,834,64,80.45125874125874,430,94,1027,49,-8,167,39,348,369,877,834,877,881.2970386224921,43,47.2970386224921,4.297038622492096,4.297038622492096,18.46454092318877,834,1849,3,Teste
2,3,Teste,2023,6,16,14,0,202306161400,2023-06-16 14:00,880,13,77.96151515151516,468,131,1036,9,-2,168,30,384,389,881,880,881,951.1361835415867,1,71.13618354158666,70.13618354158666,70.13618354158666,4919.084241779132,880,1,3,Teste
2,3,Teste,2023,6,16,15,0,202306161500,2023-06-16 15:00,886,6,77.16151515151516,478,137,1036,5,3,169,27,377,397,888,886,888,949.5009812767113,2,63.50098127671129,61.50098127671129,61.50098127671129,3782.370697998392,886,4,3,Teste
2,3,Teste,2023,6,16,16,0,202306161600,2023-06-16 16:00,888,2,76.22305361305362,477,122,1037,1,8,169,23,343,402,893,888,893,917.3820617693227,5,29.38206176932272,24.38206176932272,24.38206176932272,594.4849361230685,888,25,3,Teste
2,3,Teste,2023,6,16,17,0,202306161700,2023-06-16 17:00,888,0,75.46920745920747,468,96,1029,-7,-6,169,19,263,399,881,888,881,869.8883241981481,-7,-18.1116758018519,-11.1116758018519,11.1116758018519,123.4693391254611,888,49,3,Teste
2,3,Teste,2023,6,16,18,0,202306161800,2023-06-16 18:00,883,-5,75.207668997669,458,73,1027,-10,-7,168,15,184,387,868,883,868,810.9324754925532,-15,-72.06752450744682,-57.06752450744682,57.06752450744682,3256.702353408044,883,225,3,Teste
2,3,Teste,2023,6,16,19,0,202306161900,2023-06-16 19:00,881,-2,74.45382284382285,447,48,1023,-6,-24,167,11,111,372,856,881,856,795.8682934633209,-25,-85.13170653667908,-60.13170653667908,60.13170653667908,3615.822131013293,881,625,3,Teste
2,3,Teste,2023,6,16,21,0,202306162100,2023-06-16 21:00,874,-3,71.02602564102564,423,3,1054,31,-77,165,4,7,249,822,874,822,762.9090530307927,-52,-111.0909469692073,-59.09094696920727,59.09094696920727,3491.740013717666,874,2704,3,Teste
2,3,Teste,2023,6,16,22,0,202306162200,2023-06-16 22:00,881,7,68.46448717948718,410,-20,1057,31,-88,163,-1,1,182,801,881,801,821.2678215441026,-80,-59.73217845589738,20.26782154410262,20.26782154410262,410.7845901435902,881,6400,3,Teste
2,3,Teste,2023,6,17,0,0,202306170000,2023-06-17 00:00,893,5,60.5882634032634,389,-79,1020,-37,-130,162,-6,5,59,771,893,771,798.9453803693267,-122,-94.0546196306733,27.9453803693267,27.9453803693267,780.94428398635,893,14884,3,Teste
2,3,Teste,2023,6,17,1,0,202306170100,2023-06-17 01:00,881,-12,56.44886946386946,380,-98,1012,-35,-47,160,-8,-7,14,754,881,754,686.7777689963052,-127,-194.2222310036948,-67.22223100369479,67.22223100369479,4518.828341114105,881,16129,3,Teste
