EVENTO,SERIE,CONJUNTO,ANO,MES,DIA,HORA,MINUTO,COD_SEQUENCIAL,DATA_HORA,inp01_input_1_nivel_86472600,inp02_input_2_nivel_D-1h_86472600,inp03_input_3_chuva_med_acum_36h,inp04_input_4a_nivel_86298000,inp05_input_4b_nivel_D-10H_86298000,inp06_input_7a_nivel_86472000,inp07_input_7b_nivel_D-2h_86472000,inp08_input_7c_nivel_A-14h_86472000,inp09_input_8a_nivel_86125130,inp10_input_8b_nivel_D-11h_86125130,inp11_input_14_nivel_D-8h_86472600,inp12_input_15_nivel_D-12h_86472600,saida_8h_conv_nivel_8h_86472600,NIVEL_ATUAL_CM,OBSERVADO_CM_AUDITORIA,RNA_CM,ERRO_RNA_CM,ERRO_ABS_CM,E2_RNA,PERS_BASE_NIVEL_ATUAL_CM,E2_PERS,SERIE_AUDITORIA,CONJUNTO_AUDITORIA
2,3,Teste,2023,6,16,16,0,202306161600,2023-06-16 16:00,888,2,76.22305361305362,477,122,1037,1,8,169,23,343,402,893,888,893,851.382707533258,-41.61729246674201,41.61729246674201,1731.999032262342,888,25,3,Teste
2,3,Teste,2023,6,16,17,0,202306161700,2023-06-16 17:00,888,0,75.46920745920747,468,96,1029,-7,-6,169,19,263,399,881,888,881,814.7047364513238,-66.29526354867619,66.29526354867619,4395.061968988434,888,49,3,Teste
2,3,Teste,2023,6,16,18,0,202306161800,2023-06-16 18:00,883,-5,75.207668997669,458,73,1027,-10,-7,168,15,184,387,868,883,868,738.6715331608597,-129.3284668391403,129.3284668391403,16725.85233496262,883,225,3,Teste
2,3,Teste,2023,6,16,19,0,202306161900,2023-06-16 19:00,881,-2,74.45382284382285,447,48,1023,-6,-24,167,11,111,372,856,881,856,715.2152270943309,-140.7847729056691,140.7847729056691,19820.35228210082,881,625,3,Teste
2,3,Teste,2023,6,16,21,0,202306162100,2023-06-16 21:00,874,-3,71.02602564102564,423,3,1054,31,-77,165,4,7,249,822,874,822,736.9975462037238,-85.0024537962762,85.0024537962762,7225.41715138807,874,2704,3,Teste
2,3,Teste,2023,6,16,22,0,202306162200,2023-06-16 22:00,881,7,68.46448717948718,410,-20,1057,31,-88,163,-1,1,182,801,881,801,768.9136954828866,-32.08630451711338,32.08630451711338,1029.53093756493,881,6400,3,Teste
2,3,Teste,2023,6,17,0,0,202306170000,2023-06-17 00:00,893,5,60.5882634032634,389,-79,1020,-37,-130,162,-6,5,59,771,893,771,779.3311661715514,8.331166171551445,8.331166171551445,69.40832977800315,893,14884,3,Teste
2,3,Teste,2023,6,17,1,0,202306170100,2023-06-17 01:00,881,-12,56.44886946386946,380,-98,1012,-35,-47,160,-8,-7,14,754,881,754,782.3070162714873,28.30701627148733,28.30701627148733,801.2871701942483,881,16129,3,Teste
2,3,Teste,2023,6,17,2,0,202306170200,2023-06-17 02:00,868,-13,53.13278554778555,370,-107,996,-24,-26,158,-11,-15,-12,742,868,742,746.2033455201641,4.203345520164135,4.203345520164135,17.6681135618839,868,15876,3,Teste
2,3,Teste,2023,6,17,3,0,202306170300,2023-06-17 03:00,856,-12,48.35020979020979,361,-107,975,-37,-25,156,-13,-25,-30,735,856,735,717.5339177425752,-17.46608225742477,17.46608225742477,305.0640294231285,856,14641,3,Teste
2,3,Teste,2023,6,17,4,0,202306170400,2023-06-17 04:00,843,-13,42.78237762237762,355,-103,940,-56,-40,156,-13,-34,-45,728,843,728,714.1373684330365,-13.8626315669635,13.8626315669635,192.1725539613729,843,13225,3,Teste
2,3,Teste,2023,6,17,8,0,202306170800,2023-06-17 08:00,771,-16,28.30067599067599,329,-81,877,-39,-12,148,-17,-122,-106,681,771,681,622.9740233227259,-58.02597667727412,58.02597667727412,3367.01396935156,771,8100,3,Teste
2,3,Teste,2023,6,17,9,0,202306170900,2023-06-17 09:00,754,-17,27.16734265734265,324,-75,869,-22,-4,146,-17,-127,-120,666,754,666,606.8978288604274,-59.10217113957265,59.10217113957265,3493.066633411334,754,7744,3,Teste
2,3,Teste,2023,6,17,10,0,202306171000,2023-06-17 10:00,742,-12,25.55900932400932,317,-72,867,-10,-5,144,-19,-126,-139,654,742,654,599.1633337681673,-54.83666623183274,54.83666623183274,3007.059963421425,742,7744,3,Teste
2,3,Teste,2023,6,17,11,0,202306171100,2023-06-17 11:00,735,-7,24.90900932400932,312,-68,858,-11,-37,142,-20,-121,-153,646,735,646,606.7656605112533,-39.23433948874674,39.23433948874674,1539.333395118232,735,7921,3,Teste
2,3,Teste,2023,6,17,12,0,202306171200,2023-06-17 12:00,728,-7,23.76734265734265,308,-62,850,-17,-11,141,-19,-115,-165,641,728,641,599.2747523084296,-41.72524769157042,41.72524769157042,1740.996294922902,728,7569,3,Teste
2,3,Teste,2023,6,17,13,0,202306171300,2023-06-17 13:00,721,-7,22.49234265734265,303,-58,826,-32,-14,139,-19,-101,-160,638,721,638,602.4146916557271,-35.5853083442729,35.5853083442729,1266.314169956979,721,6889,3,Teste
2,3,Teste,2023,6,17,14,0,202306171400,2023-06-17 14:00,711,-10,20.64234265734265,297,-58,809,-41,10,138,-18,-90,-157,632,711,632,596.6527586554073,-35.3472413445927,35.3472413445927,1249.427470672884,711,6241,3,Teste
2,3,Teste,2023,6,17,20,0,202306172000,2023-06-17 20:00,641,-5,6.572342657342655,274,-43,753,-10,9,131,-15,-87,-130,594,641,594,566.3847544336579,-27.61524556634208,27.61524556634208,762.601787689376,641,2209,3,Teste
2,3,Teste,2023,6,17,21,0,202306172100,2023-06-17 21:00,638,-3,6.205675990675988,271,-41,745,-13,17,130,-14,-83,-116,588,638,588,565.4323642528827,-22.56763574711727,22.56763574711727,509.298183214565,638,2500,3,Teste
2,3,Teste,2023,6,17,22,0,202306172200,2023-06-17 22:00,632,-6,5.577470862470862,266,-42,740,-13,9,129,-13,-79,-110,581,632,581,559.2888334150474,-21.71116658495259,21.71116658495259,471.3747544795621,632,2601,3,Teste
2,3,Teste,2023,6,17,23,0,202306172300,2023-06-17 23:00,624,-8,5.171060606060604,263,-40,732,-13,0,128,-13,-72,-111,574,624,574,554.9751086933471,-19.02489130665288,19.02489130665288,361.9464892299562,624,2500,3,Teste
2,3,Teste,2023,6,18,0,0,202306180000,2023-06-18 00:00,620,-4,4.927470862470861,260,-37,722,-18,-8,126,-13,-61,-108,568,620,568,553.9347453952275,-14.06525460477246,14.06525460477246,197.831387097073,620,2704,3,Teste
2,3,Teste,2023,6,18,1,0,202306180100,2023-06-18 01:00,613,-7,4.760804195804194,256,-37,715,-17,2,125,-13,-53,-108,564,613,564,545.8703478636826,-18.12965213631742,18.12965213631742,328.6842865838787,613,2401,3,Teste
2,3,Teste,2023,6,18,7,0,202306180700,2023-06-18 07:00,574,-7,3.007424242424241,239,-32,674,-13,4,121,-10,-50,-72,509,574,509,522.7244991208781,13.72449912087814,13.72449912087814,188.3618761189847,574,4225,3,Teste
2,3,Teste,2023,6,18,8,0,202306180800,2023-06-18 08:00,568,-6,2.840757575757575,237,-29,670,-9,-1,121,-9,-52,-73,510,568,510,520.2273914678118,10.2273914678118,10.2273914678118,104.5995362358696,568,3364,3,Teste
2,3,Teste,2023,6,18,9,0,202306180900,2023-06-18 09:00,564,-4,2.632424242424241,234,-29,654,-20,-11,120,-9,-49,-74,511,564,511,523.1608938824477,12.16089388244768,12.16089388244768,147.8873400201534,564,2809,3,Teste
2,3,Teste,2023,6,18,10,0,202306181000,2023-06-18 10:00,559,-5,2.449090909090908,231,-29,629,-41,-20,119,-9,-47,-73,510,559,510,528.3683990380918,18.36839903809175,18.36839903809175,337.39808322257,559,2401,3,Teste
2,3,Teste,2023,6,18,11,0,202306181100,2023-06-18 11:00,549,-10,2.321818181818181,228,-28,611,-43,-10,119,-7,-50,-75,509,549,509,518.8689639878521,9.868963987852112,9.868963987852112,97.39645019352186,549,1600,3,Teste
3,2,Validacao,2023,7,11,16,0,202307111600,2023-07-11 16:00,433,-3,1.805128205128205,165,-13,519,-5,3,109,-1,-24,-37,415,433,415,414.3647622880026,-0.6352377119974335,0.6352377119974335,0.4035269507437343,433,324,2,Validacao
3,2,Validacao,2023,7,11,17,0,202307111700,2023-07-11 17:00,431,-2,4.278205128205128,165,-12,515,-5,0,109,0,-22,-36,413,431,413,414.0796526455729,1.079652645572878,1.079652645572878,1.165649835092515,431,324,2,Validacao
3,2,Validacao,2023,7,11,18,0,202307111800,2023-07-11 18:00,428,-3,4.978205128205128,164,-12,514,-5,3,109,0,-22,-35,411,428,411,411.1138892340259,0.113889234025919,0.113889234025919,0.01297075762701055,428,289,2,Validacao
3,2,Validacao,2023,7,12,1,0,202307120100,2023-07-12 01:00,413,-2,5.544871794871794,159,-7,498,-5,-1,109,0,-18,-28,405,413,405,397.7825672745676,-7.217432725432445,7.217432725432445,52.09133514614322,413,64,2,Validacao
3,2,Validacao,2023,7,12,2,0,202307120200,2023-07-12 02:00,411,-2,5.529487179487178,159,-6,498,-3,3,109,0,-17,-27,406,411,406,396.4515655224134,-9.548434477586625,9.548434477586625,91.17260097276495,411,25,2,Validacao
3,2,Validacao,2023,7,12,3,0,202307120300,2023-07-12 03:00,409,-2,5.53076923076923,158,-7,495,-3,0,109,0,-17,-27,412,409,412,394.7258802627242,-17.27411973727578,17.27411973727578,298.3952126977408,409,9,2,Validacao
3,2,Validacao,2023,7,12,4,0,202307120400,2023-07-12 04:00,408,-1,5.553205128205127,158,-6,494,-4,2,109,0,-15,-25,417,408,417,395.0313656452479,-21.96863435475211,21.96863435475211,482.6208954127948,408,81,2,Validacao
3,2,Validacao,2023,7,12,5,0,202307120500,2023-07-12 05:00,406,-2,8.714743589743588,160,-2,492,-3,2,110,1,-15,-25,425,406,425,393.4563225293873,-31.54367747061269,31.54367747061269,995.0035883700388,406,361,2,Validacao
3,2,Validacao,2023,7,12,6,0,202307120600,2023-07-12 06:00,405,-1,15.76858974358974,161,0,492,-2,1,111,2,-14,-23,436,405,436,397.7338338587421,-38.26616614125794,38.26616614125794,1464.299471150356,405,961,2,Validacao
3,2,Validacao,2023,7,12,7,0,202307120700,2023-07-12 07:00,405,0,17.38141025641026,163,3,491,-1,3,112,3,-12,-21,449,405,449,399.1384527868346,-49.86154721316541,49.86154721316541,2486.173890490723,405,1936,2,Validacao
3,2,Validacao,2023,7,12,8,0,202307120800,2023-07-12 08:00,405,0,20.40064102564103,171,11,491,-1,1,113,4,-10,-18,464,405,464,398.708598811082,-65.29140118891803,65.29140118891803,4262.967069212246,405,3481,2,Validacao
3,2,Validacao,2023,7,12,9,0,202307120900,2023-07-12 09:00,405,0,26.71794871794872,174,14,492,1,4,116,7,-8,-16,484,405,484,399.9934693069777,-84.00653069302234,84.00653069302234,7057.097199077704,405,6241,2,Validacao
3,2,Validacao,2023,7,12,13,0,202307121300,2023-07-12 13:00,425,8,56.69294871794872,217,59,513,16,12,129,20,19,12,652,425,652,430.5338119073203,-221.4661880926797,221.4661880926797,49047.27246830217,425,51529,2,Validacao
3,2,Validacao,2023,7,12,14,0,202307121400,2023-07-12 14:00,436,11,58.95128205128206,239,81,528,25,17,135,26,31,25,752,436,752,453.1948839186945,-298.8051160813055,298.8051160813055,89284.49739636247,436,99856,2,Validacao
3,2,Validacao,2023,7,12,15,0,202307121500,2023-07-12 15:00,449,13,65.44294871794872,262,102,550,37,25,144,35,44,40,862.6144999999999,449,862.6144999999999,489.313514384495,-373.3009856155049,373.3009856155049,139353.6258615074,449,171076.9546102499,2,Validacao
3,2,Validacao,2023,7,12,17,0,202307121700,2023-07-12 17:00,484,20,72.0096153846154,324,161,621,71,41,179,68,79,78,1057,484,1057,700.9153453675804,-356.0846546324196,356.0846546324196,126796.2812646896,484,328329,2,Validacao
3,2,Validacao,2023,7,12,18,0,202307121800,2023-07-12 18:00,519,35,83.1596153846154,367,196,663,80,43,184,72,113,114,1106,519,1106,861.2312812683564,-244.7687187316436,244.7687187316436,59911.72566953047,519,344569,2,Validacao
3,2,Validacao,2023,7,12,20,0,202307122000,2023-07-12 20:00,600,50,93.64294871794874,455,279,809,146,86,200,84,183,195,1179,600,1179,1080.883795070494,-98.11620492950578,98.11620492950578,9626.789669768776,600,335241,2,Validacao
3,2,Validacao,2023,7,12,21,0,202307122100,2023-07-12 21:00,652,52,93.6596153846154,502,318,923,200,115,206,88,227,247,1206,652,1206,1162.878545737135,-43.12145426286543,43.12145426286543,1859.459817744395,652,306916,2,Validacao
3,2,Validacao,2023,7,12,22,0,202307122200,2023-07-12 22:00,752,100,93.67628205128207,536,340,1115,306,192,209,89,316,346,1226,752,1226,1149.057546734643,-76.94245326535679,76.94245326535679,5920.141114491614,752,224676,2,Validacao
3,2,Validacao,2023,7,12,23,0,202307122300,2023-07-12 23:00,862.6144999999999,110.6144999999999,93.94294871794874,561,344,1216,293,100,213,90,413.6144999999999,450.6144999999999,1240,862.6144999999999,1240,1255.741340482439,15.74134048243945,15.74134048243945,247.7898001840872,862.6144999999999,142419.8156102501,2,Validacao
3,2,Validacao,2023,7,13,0,0,202307130000,2023-07-13 00:00,982,119.3855000000001,94.09935897435898,581,342,1279,164,62,214,85,518,565,1247,982,1247,1190.816119789335,-56.18388021066517,56.18388021066517,3156.628395526373,982,70225,2,Validacao
3,2,Validacao,2023,7,13,1,0,202307130100,2023-07-13 01:00,1057,75,94.14935897435898,600,338,1325,109,42,214,79,573,632,1250,1057,1250,1375.56453048785,125.5645304878503,125.5645304878503,15766.4513166343,1057,37249,2,Validacao
3,2,Validacao,2023,7,13,3,0,202307130300,2023-07-13 03:00,1145,39,94.07628205128205,628,304,1408,83,29,215,51,595,696,1245,1145,1245,1499.721327853798,254.7213278537984,254.7213278537984,64882.95486360223,1145,10000,2,Validacao
3,2,Validacao,2023,7,13,4,0,202307130400,2023-07-13 04:00,1179,34,93.83141025641025,631,264,1434,65,11,218,39,579,715,1239,1179,1239,1479.526644614357,240.5266446143571,240.5266446143571,57853.06676944125,1179,3600,2,Validacao
3,2,Validacao,2023,7,13,5,0,202307130500,2023-07-13 05:00,1206,27,91.36833333333335,633,229,1452,44,-4,218,34,554,722,1230,1206,1230,1448.587376422084,218.5873764220842,218.5873764220842,47780.44113108992,1206,576,2,Validacao
