EVENTO,SERIE,CONJUNTO,ANO,MES,DIA,HORA,MINUTO,COD_SEQUENCIAL,DATA_HORA,inp01_input_1_nivel_86472600,inp02_input_2_nivel_D-1h_86472600,inp03_input_3_chuva_med_acum_36h,inp04_input_7a_nivel_86472000,inp05_input_7b_nivel_D-2h_86472000,inp06_input_7c_nivel_A-14h_86472000,inp07_input_8a_nivel_86125130,inp08_input_8b_nivel_D-11h_86125130,saida_8h_alt_nivel_D8h_86472600,NIVEL_ATUAL_CM,OBSERVADO_CM_AUDITORIA,RNA_CM,ALT_OBSERVADA_CM,ALT_RNA_CM,ERRO_RNA_CM,ERRO_ABS_CM,E2_RNA,PERS_BASE_NIVEL_ATUAL_CM,E2_PERS,SERIE_AUDITORIA,CONJUNTO_AUDITORIA
8,1,Treino,2024,4,29,23,0,202404292300,2024-04-29 23:00,842,33,70.17967032967034,570,25,15,111,-6,429,842,1271,886.3974993612477,429,44.3974993612477,-384.6025006387523,384.6025006387523,147919.0834975815,842,184041,1,Treino
8,1,Treino,2024,4,30,0,0,202404300000,2024-04-30 00:00,875,33,71.97967032967034,582,17,14,107,-5,409,875,1284,912.9970167930971,409,37.99701679309715,-371.0029832069029,371.0029832069029,137643.2135484215,875,167281,1,Treino
8,1,Treino,2024,4,30,1,0,202404300100,2024-04-30 01:00,927,52,70.1510989010989,621,51,41,107,-4,358,927,1285,1015.778914986456,358,88.77891498645647,-269.2210850135435,269.2210850135435,72479.99261586963,927,128164,1,Treino
8,1,Treino,2024,4,30,2,0,202404300200,2024-04-30 02:00,1030,103,71.80824175824176,663,81,43,106,-5,250,1030,1280,1232.609276448158,250,202.6092764481582,-47.3907235518418,47.3907235518418,2245.880678767093,1030,62500,1,Treino
8,1,Treino,2024,5,1,15,0,202405011500,2024-05-01 15:00,2141,12,267.1832334332333,2463,144,90,176,51,65,2141,2206,2134.290531155003,65,-6.709468844996536,-71.70946884499654,71.70946884499654,5142.247922031529,2141,4225,1,Treino
8,1,Treino,2024,5,1,16,0,202405011600,2024-05-01 16:00,2160,19,267.6910256410256,2499,91,76,187,62,31,2160,2191,2170.283390199685,31,10.28339019968507,-20.71660980031493,20.71660980031493,429.1779216185045,2160,961,1,Treino
8,1,Treino,2024,5,1,17,0,202405011700,2024-05-01 17:00,2180,20,268.7514152514152,2511,48,43,211,90,-8,2180,2172,2233.234927364273,-8,53.23492736427261,61.23492736427261,61.23492736427261,3749.716329307742,2180,64,1,Treino
8,1,Treino,2024,5,1,18,0,202405011800,2024-05-01 18:00,2199,19,266.628687978688,2509,10,17,217,103,-38,2199,2161,2254.063814611873,-38,55.06381461187266,93.06381461187266,93.06381461187266,8660.873590113002,2199,1444,1,Treino
8,1,Treino,2024,5,1,19,0,202405011900,2024-05-01 19:00,2214,15,256.9251914751915,2487,-24,-54,220,104,-49,2214,2165,2230.629943079486,-49,16.62994307948611,65.62994307948611,65.62994307948611,4307.289428616587,2214,2401,1,Treino
8,1,Treino,2024,5,1,20,0,202405012000,2024-05-01 20:00,2224,10,261.3933732933733,2470,-39,-54,226,97,-12,2224,2212,2212.317389309595,-12,-11.682610690405,0.3173893095950007,0.3173893095950007,0.1007359738451912,2224,144,1,Treino
8,1,Treino,2024,5,1,21,0,202405012100,2024-05-01 21:00,2226,2,264.2764901764901,2441,-46,-83,229,85,6,2226,2232,2167.455702827223,6,-58.54429717277708,-64.54429717277708,64.54429717277708,4165.966297527759,2226,36,1,Treino
8,1,Treino,2024,5,1,22,0,202405012200,2024-05-01 22:00,2224,-2,263.5550616050616,2394,-76,-107,232,81,-10,2224,2214,2136.62101908668,-10,-87.37898091332045,-77.37898091332045,77.37898091332045,5987.50668718401,2224,100,1,Treino
8,1,Treino,2024,5,1,23,0,202405012300,2024-05-01 23:00,2206,-18,259.5128538128538,2364,-77,-155,237,84,-26,2206,2180,2080.36633579414,-26,-125.6336642058595,-99.63366420585953,99.63366420585953,9926.867043085975,2206,676,1,Treino
8,1,Treino,2024,5,2,0,0,202405020000,2024-05-02 00:00,2191,-15,264.7031135531136,2390,-4,-136,241,72,-48,2191,2143,2087.024886497988,-48,-103.9751135020119,-55.97511350201194,55.97511350201194,3133.213331563119,2191,2304,1,Treino
8,1,Treino,2024,5,2,1,0,202405020100,2024-05-02 01:00,2172,-19,266.0550616050616,2416,52,-149,248,78,-49,2172,2123,2093.736882932229,-49,-78.26311706777142,-29.26311706777142,29.26311706777142,856.3300205220949,2172,2401,1,Treino
12,1,Treino,2024,10,6,0,0,202410060000,2024-10-06 00:00,320,-5,2.07948717948718,512,8,6,112,-4,-4,320,316,315.9160289272216,-4,-4.083971072778354,-0.08397107277835403,0.08397107277835403,0.007051141063547628,320,16,1,Treino
12,1,Treino,2024,10,6,1,0,202410060100,2024-10-06 01:00,308,-12,2.187179487179487,511,1,0,111,-4,15,308,323,289.7998808828976,15,-18.20011911710242,-33.20011911710242,33.20011911710242,1102.247909389789,308,225,1,Treino
12,1,Treino,2024,10,6,2,0,202410060200,2024-10-06 02:00,299,-9,2.187179487179487,515,3,2,111,-4,32,299,331,287.7068158248827,32,-11.29318417511729,-43.29318417511729,43.29318417511729,1874.299796020626,299,1024,1,Treino
12,1,Treino,2024,10,6,3,0,202410060300,2024-10-06 03:00,294,-5,2.27948717948718,523,12,9,111,-4,41,294,335,293.147098480675,41,-0.8529015193249734,-41.85290151932497,41.85290151932497,1751.665365586315,294,1681,1,Treino
12,1,Treino,2024,10,6,4,0,202410060400,2024-10-06 04:00,294,0,2.510256410256411,522,7,-1,111,-3,43,294,337,301.5009654086755,43,7.500965408675484,-35.49903459132452,35.49903459132452,1260.181456916055,294,1849,1,Treino
12,1,Treino,2024,10,6,5,0,202410060500,2024-10-06 05:00,300,6,2.617948717948718,515,-8,-6,111,-3,37,300,337,313.735507516947,37,13.735507516947,-23.264492483053,23.264492483053,541.2366104940297,300,1369,1,Treino
12,1,Treino,2024,10,6,6,0,202410060600,2024-10-06 06:00,307,7,3.033333333333334,510,-12,-5,111,-2,30,307,337,322.5314735189465,30,15.53147351894654,-14.46852648105346,14.46852648105346,209.3382585329452,307,900,1,Treino
12,1,Treino,2024,10,6,7,0,202410060700,2024-10-06 07:00,312,5,3.048717948717949,508,-7,-1,110,-3,24,312,336,323.6134097434287,24,11.61340974342875,-12.38659025657125,12.38659025657125,153.4276181841859,312,576,1,Treino
12,1,Treino,2024,10,6,8,0,202410060800,2024-10-06 08:00,316,4,3.048717948717949,508,-2,14,109,-3,20,316,336,327.7879251733765,20,11.78792517337649,-8.212074826623507,8.212074826623507,67.4381729580635,316,400,1,Treino
12,1,Treino,2024,10,6,9,0,202410060900,2024-10-06 09:00,323,7,3.033333333333333,507,-1,18,109,-3,12,323,335,340.2981839452437,12,17.29818394524375,5.29818394524375,5.29818394524375,28.07075311763862,323,144,1,Treino
12,1,Treino,2024,10,6,10,0,202410061000,2024-10-06 10:00,331,8,2.864102564102564,507,-1,11,109,-3,3,331,334,348.5822140490322,3,17.58221404903225,14.58221404903225,14.58221404903225,212.6409665717934,331,9,1,Treino
12,1,Treino,2024,10,6,11,0,202410061100,2024-10-06 11:00,335,4,2.802564102564102,506,-1,-1,109,-3,-2,335,333,343.732546748231,-2,8.732546748231016,10.73254674823102,10.73254674823102,115.1875597029642,335,4,1,Treino
